GPS,PlusPoint
"34.02482599999998,-112.40546200000001",85692HFV+WR
"34.02482599999998,-111.005462",856C2XFV+WR
"34.02482599999998,-112.60546200000002",856929FV+WR
"34.02482599999998,-110.80546199999999",856F25FV+WR
"34.02482599999998,-112.80546200000002",856925FV+WR
"34.02482599999998,-110.60546199999999",856F29FV+WR
"34.02482599999998,-113.00546200000002",85682XFV+WR
"33.06482600000002,-111.805462",855C357V+WR
"33.06482600000002,-111.605462",855C397V+WR
"33.06482600000002,-112.00546200000001",85593X7V+WR
"33.06482600000002,-111.405462",855C3H7V+WR
"33.06482600000002,-112.20546200000001",85593Q7V+WR
"33.06482600000002,-111.205462",855C3Q7V+WR
"33.06482600000002,-112.40546200000001",85593H7V+WR
"33.06482600000002,-111.005462",855C3X7V+WR
"33.06482600000002,-112.60546200000002",8559397V+WR
"33.06482600000002,-110.80546199999999",855F357V+WR
"33.06482600000002,-112.80546200000002",8559357V+WR
"33.06482600000002,-110.60546199999999",855F397V+WR
"33.06482600000002,-113.00546200000002",85583X7V+WR
"34.12082599999998,-111.805462",856C45CV+8R
"34.12082599999998,-111.605462",856C49CV+8R
"34.12082599999998,-112.00546200000001",85694XCV+8R
"34.12082599999998,-111.405462",856C4HCV+8R
"34.12082599999998,-112.20546200000001",85694QCV+8R
"34.12082599999998,-111.205462",856C4QCV+8R
"34.12082599999998,-112.40546200000001",85694HCV+8R
"34.12082599999998,-111.005462",856C4XCV+8R
"34.12082599999998,-112.60546200000002",856949CV+8R
"34.12082599999998,-110.80546199999999",856F45CV+8R
"34.12082599999998,-112.80546200000002",856945CV+8R
"34.12082599999998,-110.60546199999999",856F49CV+8R
"34.12082599999998,-113.00546200000002",85684XCV+8R
"32.96882600000002,-111.805462",854CX59V+GR
"32.96882600000002,-111.605462",854CX99V+GR
"32.96882600000002,-112.00546200000001",8549XX9V+GR
"32.96882600000002,-111.405462",854CXH9V+GR
"32.96882600000002,-112.20546200000001",8549XQ9V+GR
"32.96882600000002,-111.205462",854CXQ9V+GR
"32.96882600000002,-112.40546200000001",8549XH9V+GR
"32.96882600000002,-111.005462",854CXX9V+GR
"32.96882600000002,-112.60546200000002",8549X99V+GR
"32.96882600000002,-110.80546199999999",854FX59V+GR
"32.96882600000002,-112.80546200000002",8549X59V+GR
"32.96882600000002,-110.60546199999999",854FX99V+GR
"32.96882600000002,-113.00546200000002",8548XX9V+GR
"34.216825999999976,-111.805462",856C658V+PR
"34.216825999999976,-111.605462",856C698V+PR
"34.216825999999976,-112.00546200000001",85696X8V+PR
"34.216825999999976,-111.405462",856C6H8V+PR
"34.216825999999976,-112.20546200000001",85696Q8V+PR
"34.216825999999976,-111.205462",856C6Q8V+PR
"34.216825999999976,-112.40546200000001",85696H8V+PR
"34.216825999999976,-111.005462",856C6X8V+PR
"34.216825999999976,-112.60546200000002",8569698V+PR
"34.216825999999976,-110.80546199999999",856F658V+PR
"34.216825999999976,-112.80546200000002",8569658V+PR
"34.216825999999976,-110.60546199999999",856F698V+PR
"34.216825999999976,-113.00546200000002",85686X8V+PR
"32.872826000000025,-111.805462",854CV5FV+4R
"32.872826000000025,-111.605462",854CV9FV+4R
"32.872826000000025,-112.00546200000001",8549VXFV+4R
"32.872826000000025,-111.405462",854CVHFV+4R
"32.872826000000025,-112.20546200000001",8549VQFV+4R
"32.872826000000025,-111.205462",854CVQFV+4R
"32.872826000000025,-112.40546200000001",8549VHFV+4R
"32.872826000000025,-111.005462",854CVXFV+4R
"32.872826000000025,-112.60546200000002",8549V9FV+4R
"32.872826000000025,-110.80546199999999",854FV5FV+4R
"32.872826000000025,-112.80546200000002",8549V5FV+4R
"32.872826000000025,-110.60546199999999",854FV9FV+4R
"32.872826000000025,-113.00546200000002",8548VXFV+4R
"34.31282599999997,-111.805462",856C857V+4R
"34.31282599999997,-111.605462",856C897V+4R
"34.31282599999997,-112.00546200000001",85698X7V+4R
"34.31282599999997,-111.405462",856C8H7V+4R
"34.31282599999997,-112.20546200000001",85698Q7V+4R
"34.31282599999997,-111.205462",856C8Q7V+4R
"34.31282599999997,-112.40546200000001",85698H7V+4R
"34.31282599999997,-111.005462",856C8X7V+4R
"34.31282599999997,-112.60546200000002",8569897V+4R
"34.31282599999997,-110.80546199999999",856F857V+4R
"34.31282599999997,-112.80546200000002",8569857V+4R
"34.31282599999997,-110.60546199999999",856F897V+4R
"34.31282599999997,-113.00546200000002",85688X7V+4R
"32.77682600000003,-111.805462",854CQ5GV+PR
"32.77682600000003,-111.605462",854CQ9GV+PR
"32.77682600000003,-112.00546200000001",8549QXGV+PR
"32.77682600000003,-111.405462",854CQHGV+PR
"32.77682600000003,-112.20546200000001",8549QQGV+PR
"32.77682600000003,-111.205462",854CQQGV+PR
"32.77682600000003,-112.40546200000001",8549QHGV+PR
"32.77682600000003,-111.005462",854CQXGV+PR
"32.77682600000003,-112.60546200000002",8549Q9GV+PR
"32.77682600000003,-110.80546199999999",854FQ5GV+PR
"32.77682600000003,-112.80546200000002",8549Q5GV+PR
"32.77682600000003,-110.60546199999999",854FQ9GV+PR
"32.77682600000003,-113.00546200000002",8548QXGV+PR
"34.40882599999997,-111.805462",856CC55V+GR
"34.40882599999997,-111.605462",856CC95V+GR
"34.40882599999997,-112.00546200000001",8569CX5V+GR
"34.40882599999997,-111.405462",856CCH5V+GR
"34.40882599999997,-112.20546200000001",8569CQ5V+GR
"34.40882599999997,-111.205462",856CCQ5V+GR
"34.40882599999997,-112.40546200000001",8569CH5V+GR
"34.40882599999997,-111.005462",856CCX5V+GR
"34.40882599999997,-112.60546200000002",8569C95V+GR
"34.40882599999997,-110.80546199999999",856FC55V+GR
"34.40882599999997,-112.80546200000002",8569C55V+GR
"34.40882599999997,-110.60546199999999",856FC95V+GR
"34.40882599999997,-113.00546200000002",8568CX5V+GR
"32.68082600000003,-111.805462",854CM5JV+8R
"32.68082600000003,-111.605462",854CM9JV+8R
"32.68082600000003,-112.00546200000001",8549MXJV+8R
"32.68082600000003,-111.405462",854CMHJV+8R
"32.68082600000003,-112.20546200000001",8549MQJV+8R
"32.68082600000003,-111.205462",854CMQJV+8R
"32.68082600000003,-112.40546200000001",8549MHJV+8R
"32.68082600000003,-111.005462",854CMXJV+8R
"32.68082600000003,-112.60546200000002",8549M9JV+8R
"32.68082600000003,-110.80546199999999",854FM5JV+8R
"32.68082600000003,-112.80546200000002",8549M5JV+8R
"32.68082600000003,-110.60546199999999",854FM9JV+8R
"32.68082600000003,-113.00546200000002",8548MXJV+8R
"34.504825999999966,-111.805462",856CG53V+WR
"34.504825999999966,-111.605462",856CG93V+WR
"34.504825999999966,-112.00546200000001",8569GX3V+WR
"34.504825999999966,-111.405462",856CGH3V+WR
"34.504825999999966,-112.20546200000001",8569GQ3V+WR
"34.504825999999966,-111.205462",856CGQ3V+WR
"34.504825999999966,-112.40546200000001",8569GH3V+WR
"34.504825999999966,-111.005462",856CGX3V+WR
