GPS,PlusPoint,Avail
"33.520524000000016,-115.51631499999999",8556GFCM+6F,nope
"33.520524000000016,-117.11631500000001",8554GVCM+6F,nope
"33.520524000000016,-115.31631499999999",8556GMCM+6F,nope
"33.520524000000016,-117.31631500000002",8554GMCM+6F,nope
"33.520524000000016,-115.11631499999999",8556GVCM+6F,nope
"33.520524000000016,-117.51631500000002",8554GFCM+6F,nope
"34.384523999999985,-116.316315",85659MMM+RF,nope
"34.384523999999985,-116.116315",85659VMM+RF,nope
"34.384523999999985,-116.516315",85659FMM+RF,nope
"34.384523999999985,-115.916315",856693MM+RF,nope
"34.384523999999985,-116.71631500000001",856597MM+RF,nope
"34.384523999999985,-115.716315",856697MM+RF,nope
"34.384523999999985,-116.91631500000001",856593MM+RF,nope
"34.384523999999985,-115.51631499999999",85669FMM+RF,85669FMM+RF
"34.384523999999985,-117.11631500000001",85649VMM+RF,nope
"34.384523999999985,-115.31631499999999",85669MMM+RF,85669MMM+RF
"34.384523999999985,-117.31631500000002",85649MMM+RF,nope
"34.384523999999985,-115.11631499999999",85669VMM+RF,nope
"34.384523999999985,-117.51631500000002",85649FMM+RF,nope
"33.42452400000002,-116.316315",8555CMFM+RF,nope
"33.42452400000002,-116.116315",8555CVFM+RF,nope
"33.42452400000002,-116.516315",8555CFFM+RF,nope
"33.42452400000002,-115.916315",8556C3FM+RF,nope
"33.42452400000002,-116.71631500000001",8555C7FM+RF,nope
"33.42452400000002,-115.716315",8556C7FM+RF,nope
"33.42452400000002,-116.91631500000001",8555C3FM+RF,nope
"33.42452400000002,-115.51631499999999",8556CFFM+RF,nope
"33.42452400000002,-117.11631500000001",8554CVFM+RF,nope
"33.42452400000002,-115.31631499999999",8556CMFM+RF,nope
"33.42452400000002,-117.31631500000002",8554CMFM+RF,nope
"33.42452400000002,-115.11631499999999",8556CVFM+RF,nope
"33.42452400000002,-117.51631500000002",8554CFFM+RF,nope
"34.48052399999998,-116.316315",8565FMJM+6F,nope
"34.48052399999998,-116.116315",8565FVJM+6F,nope
"34.48052399999998,-116.516315",8565FFJM+6F,nope
"34.48052399999998,-115.916315",8566F3JM+6F,nope
"34.48052399999998,-116.71631500000001",8565F7JM+6F,nope
"34.48052399999998,-115.716315",8566F7JM+6F,nope
"34.48052399999998,-116.91631500000001",8565F3JM+6F,nope
"34.48052399999998,-115.51631499999999",8566FFJM+6F,nope
"34.48052399999998,-117.11631500000001",8564FVJM+6F,nope
"34.48052399999998,-115.31631499999999",8566FMJM+6F,nope
"34.48052399999998,-117.31631500000002",8564FMJM+6F,nope
"34.48052399999998,-115.11631499999999",8566FVJM+6F,8566FVJM+6F
"34.48052399999998,-117.51631500000002",8564FFJM+6F,nope
"33.32852400000002,-116.316315",85558MHM+CF,nope
"33.32852400000002,-116.116315",85558VHM+CF,nope
"33.32852400000002,-116.516315",85558FHM+CF,nope
"33.32852400000002,-115.916315",855683HM+CF,nope
"33.32852400000002,-116.71631500000001",855587HM+CF,nope
"33.32852400000002,-115.716315",855687HM+CF,nope
"33.32852400000002,-116.91631500000001",855583HM+CF,nope
"33.32852400000002,-115.51631499999999",85568FHM+CF,nope
"33.32852400000002,-117.11631500000001",85548VHM+CF,nope
"33.32852400000002,-115.31631499999999",85568MHM+CF,nope
"33.32852400000002,-117.31631500000002",85548MHM+CF,nope
"33.32852400000002,-115.11631499999999",85568VHM+CF,nope
"33.32852400000002,-117.51631500000002",85548FHM+CF,nope
