GPS,PlusPoint,Avail
"35.83637799999999,-110.106927",857FRVPV+H6,nope
"35.83637799999999,-109.606927",857GR9PV+H6,nope
"35.83637799999999,-109.106927",857GRVPV+H6,nope
"35.83637799999999,-108.606927",857HR9PV+H6,nope
"36.16937799999999,-118.106927",85835V9V+Q6,nope
"36.16937799999999,-117.606927",8584599V+Q6,8584599V+Q6
"36.16937799999999,-117.106927",85845V9V+Q6,85845V9V+Q6
"36.16937799999999,-116.606927",8585599V+Q6,nope
"36.16937799999999,-116.106927",85855V9V+Q6,nope
"36.16937799999999,-115.606927",8586599V+Q6,nope
"36.16937799999999,-115.106927",85865V9V+Q6,nope
"36.16937799999999,-114.606927",8587599V+Q6,nope
"36.16937799999999,-114.106927",85875V9V+Q6,nope
"36.16937799999999,-113.606927",8588599V+Q6,nope
"36.16937799999999,-113.106927",85885V9V+Q6,nope
"36.16937799999999,-112.606927",8589599V+Q6,nope
"36.16937799999999,-112.106927",85895V9V+Q6,nope
"36.16937799999999,-111.606927",858C599V+Q6,nope
"36.16937799999999,-111.106927",858C5V9V+Q6,nope
"36.16937799999999,-110.606927",858F599V+Q6,nope
"36.16937799999999,-110.106927",858F5V9V+Q6,nope
"36.16937799999999,-109.606927",858G599V+Q6,nope
"36.16937799999999,-109.106927",858G5V9V+Q6,nope
"36.16937799999999,-108.606927",858H599V+Q6,nope
"36.502377999999986,-118.106927",8583GV2V+X6,nope
"36.502377999999986,-117.606927",8584G92V+X6,8584G92V+X6
"36.502377999999986,-117.106927",8584GV2V+X6,nope
"36.502377999999986,-116.606927",8585G92V+X6,nope
"36.502377999999986,-116.106927",8585GV2V+X6,nope
"36.502377999999986,-115.606927",8586G92V+X6,nope
"36.502377999999986,-115.106927",8586GV2V+X6,nope
"36.502377999999986,-114.606927",8587G92V+X6,nope
"36.502377999999986,-114.106927",8587GV2V+X6,nope
"36.502377999999986,-113.606927",8588G92V+X6,nope
"36.502377999999986,-113.106927",8588GV2V+X6,nope
"36.502377999999986,-112.606927",8589G92V+X6,nope
"36.502377999999986,-112.106927",8589GV2V+X6,nope
"36.502377999999986,-111.606927",858CG92V+X6,858CG92V+X6
"36.502377999999986,-111.106927",858CGV2V+X6,nope
"36.502377999999986,-110.606927",858FG92V+X6,nope
"36.502377999999986,-110.106927",858FGV2V+X6,nope
"36.502377999999986,-109.606927",858GG92V+X6,nope
"36.502377999999986,-109.106927",858GGV2V+X6,nope
"36.502377999999986,-108.606927",858HG92V+X6,nope
"36.835377999999984,-118.106927",8583RVPV+56,nope
"36.835377999999984,-117.606927",8584R9PV+56,8584R9PV+56
"36.835377999999984,-117.106927",8584RVPV+56,8584RVPV+56
"36.835377999999984,-116.606927",8585R9PV+56,nope
"36.835377999999984,-116.106927",8585RVPV+56,nope
"36.835377999999984,-115.606927",8586R9PV+56,nope
"36.835377999999984,-115.106927",8586RVPV+56,nope
"36.835377999999984,-114.606927",8587R9PV+56,nope
"36.835377999999984,-114.106927",8587RVPV+56,8587RVPV+56
"36.835377999999984,-113.606927",8588R9PV+56,nope
"36.835377999999984,-113.106927",8588RVPV+56,nope
"36.835377999999984,-112.606927",8589R9PV+56,nope
"36.835377999999984,-112.106927",8589RVPV+56,nope
"36.835377999999984,-111.606927",858CR9PV+56,nope
"36.835377999999984,-111.106927",858CRVPV+56,nope
"36.835377999999984,-110.606927",858FR9PV+56,nope
"36.835377999999984,-110.106927",858FRVPV+56,nope
"36.835377999999984,-109.606927",858GR9PV+56,858GR9PV+56
"36.835377999999984,-109.106927",858GRVPV+56,nope
"36.835377999999984,-108.606927",858HR9PV+56,nope
"37.16837799999998,-118.106927",85935V9V+96,nope
"37.16837799999998,-117.606927",8594599V+96,8594599V+96
"37.16837799999998,-117.106927",85945V9V+96,nope
"37.16837799999998,-116.606927",8595599V+96,8595599V+96
"37.16837799999998,-116.106927",85955V9V+96,85955V9V+96
"37.16837799999998,-115.606927",8596599V+96,8596599V+96
"37.16837799999998,-115.106927",85965V9V+96,nope
"37.16837799999998,-114.606927",8597599V+96,8597599V+96
"37.16837799999998,-114.106927",85975V9V+96,nope
"37.16837799999998,-113.606927",8598599V+96,nope
"37.16837799999998,-113.106927",85985V9V+96,nope
"37.16837799999998,-112.606927",8599599V+96,nope
"37.16837799999998,-112.106927",85995V9V+96,nope
"37.16837799999998,-111.606927",859C599V+96,859C599V+96
"37.16837799999998,-111.106927",859C5V9V+96,nope
"37.16837799999998,-110.606927",859F599V+96,nope
"37.16837799999998,-110.106927",859F5V9V+96,nope
"37.16837799999998,-109.606927",859G599V+96,nope
"37.16837799999998,-109.106927",859G5V9V+96,nope
"37.16837799999998,-108.606927",859H599V+96,nope
"37.50137799999998,-118.106927",8593GV2V+H6,nope
"37.50137799999998,-117.606927",8594G92V+H6,8594G92V+H6
"37.50137799999998,-117.106927",8594GV2V+H6,8594GV2V+H6
"37.50137799999998,-116.606927",8595G92V+H6,8595G92V+H6
"37.50137799999998,-116.106927",8595GV2V+H6,8595GV2V+H6
"37.50137799999998,-115.606927",8596G92V+H6,8596G92V+H6
"37.50137799999998,-115.106927",8596GV2V+H6,8596GV2V+H6
"37.50137799999998,-114.606927",8597G92V+H6,nope
"37.50137799999998,-114.106927",8597GV2V+H6,nope
"37.50137799999998,-113.606927",8598G92V+H6,nope
"37.50137799999998,-113.106927",8598GV2V+H6,nope
"37.50137799999998,-112.606927",8599G92V+H6,nope
"37.50137799999998,-112.106927",8599GV2V+H6,nope
"37.50137799999998,-111.606927",859CG92V+H6,859CG92V+H6
"37.50137799999998,-111.106927",859CGV2V+H6,859CGV2V+H6
"37.50137799999998,-110.606927",859FG92V+H6,nope
"37.50137799999998,-110.106927",859FGV2V+H6,nope
"37.50137799999998,-109.606927",859GG92V+H6,nope
"37.50137799999998,-109.106927",859GGV2V+H6,nope
"37.50137799999998,-108.606927",859HG92V+H6,nope
"37.83437799999998,-118.106927",8593RVMV+Q6,nope
"37.83437799999998,-117.606927",8594R9MV+Q6,8594R9MV+Q6
"37.83437799999998,-117.106927",8594RVMV+Q6,8594RVMV+Q6
"37.83437799999998,-116.606927",8595R9MV+Q6,8595R9MV+Q6
"37.83437799999998,-116.106927",8595RVMV+Q6,8595RVMV+Q6
"37.83437799999998,-115.606927",8596R9MV+Q6,8596R9MV+Q6
"37.83437799999998,-115.106927",8596RVMV+Q6,8596RVMV+Q6
"37.83437799999998,-114.606927",8597R9MV+Q6,nope
"37.83437799999998,-114.106927",8597RVMV+Q6,8597RVMV+Q6
"37.83437799999998,-113.606927",8598R9MV+Q6,nope
"37.83437799999998,-113.106927",8598RVMV+Q6,nope
"37.83437799999998,-112.606927",8599R9MV+Q6,nope
"37.83437799999998,-112.106927",8599RVMV+Q6,nope
"37.83437799999998,-111.606927",859CR9MV+Q6,nope
"37.83437799999998,-111.106927",859CRVMV+Q6,nope
"37.83437799999998,-110.606927",859FR9MV+Q6,nope
"37.83437799999998,-110.106927",859FRVMV+Q6,nope
"37.83437799999998,-109.606927",859GR9MV+Q6,nope
"37.83437799999998,-109.106927",859GRVMV+Q6,nope
"37.83437799999998,-108.606927",859HR9MV+Q6,nope
