GPS,PlusPoint,
"35.994586,-114.066685",8577XWVM+R8,nope
"33.69058600000008,-118.86668500000007",8553M4RM+68, 8553M4RM+68
"33.69058600000008,-118.66668500000007",8553M8RM+68, 8553M8RM+68
"33.78658600000008,-118.86668500000007",8553Q4PM+J8, 8553Q4PM+J8
"33.78658600000008,-118.66668500000007",8553Q8PM+J8, 8553Q8PM+J8
"33.882586000000074,-118.86668500000007",8553V4MM+28, 8553V4MM+28
"33.97858600000007,-116.06668500000004",8555XWHM+C8, 8555XWHM+C8
"33.97858600000007,-115.86668500000003",8556X4HM+C8, 8556X4HM+C8
"33.97858600000007,-115.46668500000003",8556XGHM+C8, 8556XGHM+C8
"33.97858600000007,-115.26668500000002",8556XPHM+C8, 8556XPHM+C8
"34.07458600000007,-116.06668500000004",85653WFM+R8, 85653WFM+R8
"34.07458600000007,-115.66668500000003",856638FM+R8, 856638FM+R8
"34.07458600000007,-115.46668500000003",85663GFM+R8, 85663GFM+R8
"34.07458600000007,-115.26668500000002",85663PFM+R8, 85663PFM+R8
"34.170586000000064,-115.66668500000003",856658CM+68, 856658CM+68
"34.170586000000064,-115.46668500000003",85665GCM+68, 85665GCM+68
"34.170586000000064,-115.26668500000002",85665PCM+68, 85665PCM+68
"34.170586000000064,-115.06668500000002",85665WCM+68, 85665WCM+68
"34.26658600000006,-115.86668500000003",8566748M+J8, 8566748M+J8
"34.26658600000006,-115.66668500000003",8566788M+J8, 8566788M+J8
"34.26658600000006,-115.46668500000003",85667G8M+J8, 85667G8M+J8
"34.26658600000006,-115.26668500000002",85667P8M+J8, 85667P8M+J8
"34.26658600000006,-115.06668500000002",85667W8M+J8, 85667W8M+J8
"34.36258600000006,-115.86668500000003",8566947M+28, 8566947M+28
"34.36258600000006,-115.66668500000003",8566987M+28, 8566987M+28
"34.36258600000006,-115.46668500000003",85669G7M+28, 85669G7M+28
"34.36258600000006,-115.26668500000002",85669P7M+28, 85669P7M+28
"34.36258600000006,-115.06668500000002",85669W7M+28, 85669W7M+28
"34.458586000000054,-115.86668500000003",8566F45M+C8, 8566F45M+C8
"34.458586000000054,-115.66668500000003",8566F85M+C8, 8566F85M+C8
"34.458586000000054,-115.46668500000003",8566FG5M+C8, 8566FG5M+C8
"34.458586000000054,-115.26668500000002",8566FP5M+C8, 8566FP5M+C8
"34.458586000000054,-115.06668500000002",8566FW5M+C8, 8566FW5M+C8
"34.55458600000005,-115.86668500000003",8566H43M+R8, 8566H43M+R8
"34.55458600000005,-115.66668500000003",8566H83M+R8, 8566H83M+R8
"34.55458600000005,-115.46668500000003",8566HG3M+R8, 8566HG3M+R8
"34.55458600000005,-115.26668500000002",8566HP3M+R8, 8566HP3M+R8
"34.55458600000005,-115.06668500000002",8566HW3M+R8, 8566HW3M+R8
"34.65058600000005,-115.86668500000003",8566M42M+68, 8566M42M+68
"34.65058600000005,-115.66668500000003",8566M82M+68, 8566M82M+68
"34.65058600000005,-115.46668500000003",8566MG2M+68, 8566MG2M+68
"34.65058600000005,-115.26668500000002",8566MP2M+68, 8566MP2M+68
"34.65058600000005,-115.06668500000002",8566MW2M+68, 8566MW2M+68
"34.74658600000004,-115.86668500000003",8566P4WM+J8, 8566P4WM+J8
"34.74658600000004,-115.66668500000003",8566P8WM+J8, 8566P8WM+J8
"34.74658600000004,-115.46668500000003",8566PGWM+J8, 8566PGWM+J8
"34.74658600000004,-115.26668500000002",8566PPWM+J8, 8566PPWM+J8
"34.74658600000004,-115.06668500000002",8566PWWM+J8, 8566PWWM+J8
"34.84258600000004,-115.86668500000003",8566R4VM+28, 8566R4VM+28
"34.84258600000004,-115.66668500000003",8566R8VM+28, 8566R8VM+28
"34.84258600000004,-115.46668500000003",8566RGVM+28, 8566RGVM+28
"34.84258600000004,-115.26668500000002",8566RPVM+28, 8566RPVM+28
"34.938586000000036,-115.86668500000003",8566W4QM+C8, 8566W4QM+C8
"34.938586000000036,-115.66668500000003",8566W8QM+C8, 8566W8QM+C8
"34.938586000000036,-115.46668500000003",8566WGQM+C8, 8566WGQM+C8
"34.938586000000036,-115.26668500000002",8566WPQM+C8, 8566WPQM+C8
"34.938586000000036,-115.06668500000002",8566WWQM+C8, 8566WWQM+C8
"34.170586000000064,-113.06668499999999",85685WCM+68, 85685WCM+68
"35.802586000000005,-117.06668500000005",8574RW3M+28, 8574RW3M+28
"35.898586,-117.06668500000005",8574VWXM+C8, 8574VWXM+C8
"35.994586,-117.86668500000006",8574X4VM+R8, 8574X4VM+R8
"35.994586,-117.26668500000005",8574XPVM+R8, 8574XPVM+R8
"35.994586,-117.06668500000005",8574XWVM+R8, 8574XWVM+R8
"35.03458600000003,-116.86668500000005",857524MM+R8, 857524MM+R8
"35.03458600000003,-116.66668500000004",857528MM+R8, 857528MM+R8
"35.13058600000003,-116.86668500000005",857544JM+68, 857544JM+68
"35.13058600000003,-116.66668500000004",857548JM+68, 857548JM+68
"35.13058600000003,-116.46668500000004",85754GJM+68, 85754GJM+68
"35.13058600000003,-116.26668500000004",85754PJM+68, 85754PJM+68
"35.226586000000026,-116.86668500000005",857564GM+J8, 857564GM+J8
"35.226586000000026,-116.66668500000004",857568GM+J8, 857568GM+J8
"35.226586000000026,-116.46668500000004",85756GGM+J8, 85756GGM+J8
"35.226586000000026,-116.26668500000004",85756PGM+J8, 85756PGM+J8
"35.226586000000026,-116.06668500000004",85756WGM+J8, 85756WGM+J8
"35.32258600000002,-116.86668500000005",857584FM+28, 857584FM+28
"35.32258600000002,-116.66668500000004",857588FM+28, 857588FM+28
"35.32258600000002,-116.46668500000004",85758GFM+28, 85758GFM+28
"35.32258600000002,-116.06668500000004",85758WFM+28, 85758WFM+28
"35.41858600000002,-116.86668500000005",8575C49M+C8, 8575C49M+C8
"35.41858600000002,-116.66668500000004",8575C89M+C8, 8575C89M+C8
"35.41858600000002,-116.46668500000004",8575CG9M+C8, 8575CG9M+C8
"35.41858600000002,-116.26668500000004",8575CP9M+C8, 8575CP9M+C8
"35.41858600000002,-116.06668500000004",8575CW9M+C8, 8575CW9M+C8
"35.514586000000016,-116.86668500000005",8575G47M+R8, 8575G47M+R8
"35.514586000000016,-116.66668500000004",8575G87M+R8, 8575G87M+R8
"35.514586000000016,-116.46668500000004",8575GG7M+R8, 8575GG7M+R8
"35.514586000000016,-116.26668500000004",8575GP7M+R8, 8575GP7M+R8
"35.514586000000016,-116.06668500000004",8575GW7M+R8, 8575GW7M+R8
"35.61058600000001,-116.86668500000005",8575J46M+68, 8575J46M+68
"35.61058600000001,-116.66668500000004",8575J86M+68, 8575J86M+68
"35.61058600000001,-116.46668500000004",8575JG6M+68, 8575JG6M+68
"35.61058600000001,-116.26668500000004",8575JP6M+68, 8575JP6M+68
