GPS,PlusPoint,Avail
"44.65950399999996,-111.05088",85PCMW5X+RJ,Nada
"44.65950399999996,-110.55088",85PFMC5X+RJ,Nada
"44.65950399999996,-110.05088",85PFMW5X+RJ,Nada
"44.65950399999996,-109.55088",85PGMC5X+RJ,Nada
"44.65950399999996,-109.05088",85PGMW5X+RJ,Nada
"44.65950399999996,-108.55088",85PHMC5X+RJ,Nada
"44.65950399999996,-108.05088",85PHMW5X+RJ,Nada
"44.65950399999996,-107.55088",85PJMC5X+RJ,Nada
"44.65950399999996,-107.05088",85PJMW5X+RJ,Nada
"44.65950399999996,-106.55088",85PMMC5X+RJ,Nada
"44.65950399999996,-106.05088",85PMMW5X+RJ,Nada
"44.65950399999996,-105.55088",85PPMC5X+RJ,Nada
"44.65950399999996,-105.05088",85PPMW5X+RJ,Nada
"44.65950399999996,-104.55088",85PQMC5X+RJ,Nada
