GPS,PlusPoint,Avail
"38.66550399999999,-106.55088",85CMMC8X+6J,N  
"38.66550399999999,-106.05088",85CMMW8X+6J,N  
"38.66550399999999,-105.55088",85CPMC8X+6J,N  
"38.66550399999999,-105.05088",85CPMW8X+6J,N  
"38.66550399999999,-104.55088",85CQMC8X+6J,N  
"38.99850399999999,-114.05088",85C7XWXX+CJ,N  
"38.99850399999999,-113.55088",85C8XCXX+CJ,Y
"38.99850399999999,-113.05088",85C8XWXX+CJ,Y
"38.99850399999999,-112.55088",85C9XCXX+CJ,N  
"38.99850399999999,-112.05088",85C9XWXX+CJ,N  
"38.99850399999999,-111.55088",85CCXCXX+CJ,N  
"38.99850399999999,-111.05088",85CCXWXX+CJ,N  
"38.99850399999999,-110.55088",85CFXCXX+CJ,Y
"38.99850399999999,-110.05088",85CFXWXX+CJ,Y
"38.99850399999999,-109.55088",85CGXCXX+CJ,N  
"38.99850399999999,-109.05088",85CGXWXX+CJ,N  
"38.99850399999999,-108.55088",85CHXCXX+CJ,N  
"38.99850399999999,-108.05088",85CHXWXX+CJ,N  
"38.99850399999999,-107.55088",85CJXCXX+CJ,N  
"38.99850399999999,-107.05088",85CJXWXX+CJ,N  
"38.99850399999999,-106.55088",85CMXCXX+CJ,N  
"38.99850399999999,-106.05088",85CMXWXX+CJ,N  
"38.99850399999999,-105.55088",85CPXCXX+CJ,N  
"38.99850399999999,-105.05088",85CPXWXX+CJ,N  
"38.99850399999999,-104.55088",85CQXCXX+CJ,N  
"39.33150399999999,-114.05088",85F78WJX+JJ,N  
"39.33150399999999,-113.55088",85F88CJX+JJ,Y
"39.33150399999999,-113.05088",85F88WJX+JJ,Y
"39.33150399999999,-112.55088",85F98CJX+JJ,Nada
"39.33150399999999,-112.05088",85F98WJX+JJ,Nada
"39.33150399999999,-111.55088",85FC8CJX+JJ,Nada
"39.33150399999999,-111.05088",85FC8WJX+JJ,Nada
"39.33150399999999,-110.55088",85FF8CJX+JJ,Nada
"39.33150399999999,-110.05088",85FF8WJX+JJ,Nada
"39.33150399999999,-109.55088",85FG8CJX+JJ,Nada
"39.33150399999999,-109.05088",85FG8WJX+JJ,Nada
"39.33150399999999,-108.55088",85FH8CJX+JJ,Nada
"39.33150399999999,-108.05088",85FH8WJX+JJ,Nada
"39.33150399999999,-107.55088",85FJ8CJX+JJ,Nada
"39.33150399999999,-107.05088",85FJ8WJX+JJ,Nada
"39.33150399999999,-106.55088",85FM8CJX+JJ,Nada
"39.33150399999999,-106.05088",85FM8WJX+JJ,Nada
"39.33150399999999,-105.55088",85FP8CJX+JJ,Nada
"39.33150399999999,-105.05088",85FP8WJX+JJ,Nada
"39.33150399999999,-104.55088",85FQ8CJX+JJ,Nada
"39.66450399999999,-114.05088",85F7MW7X+RJ,Nada
"39.66450399999999,-113.55088",85F8MC7X+RJ,Nada
"39.66450399999999,-113.05088",85F8MW7X+RJ,Nada
"39.66450399999999,-112.55088",85F9MC7X+RJ,Nada
"39.66450399999999,-112.05088",85F9MW7X+RJ,Nada
"39.66450399999999,-111.55088",85FCMC7X+RJ,Nada
"39.66450399999999,-111.05088",85FCMW7X+RJ,Nada
"39.66450399999999,-110.55088",85FFMC7X+RJ,Nada
"39.66450399999999,-110.05088",85FFMW7X+RJ,Nada
